Month	Date	Year	sampleDir
Feb	12	2015	150212_SRR1127324
Feb	12	2015	150212_SRR1127184
Feb	12	2015	150212_SRR1127211
Feb	12	2015	150212_SRR1126965
Feb	12	2015	150212_SRR1127272
Feb	12	2015	150212_SRR1126992
Feb	12	2015	150212_SRR1127079
Feb	12	2015	150212_SRR1127196
Feb	12	2015	150212_SRR1127302
Feb	12	2015	150212_SRR1127047
Feb	12	2015	150212_SRR1127256
Feb	12	2015	150212_SRR1127044
Feb	12	2015	150212_SRR1127235
Feb	12	2015	150212_SRR1127202
Feb	12	2015	150212_SRR1127263
Feb	12	2015	150212_SRR1127293
Feb	12	2015	150212_SRR1127605
Feb	12	2015	150212_SRR1127903
Feb	12	2015	150212_SRR1127680
Feb	12	2015	150212_SRR1127691
Feb	12	2015	150212_SRR1127737
Feb	12	2015	150212_SRR1127581
Feb	12	2015	150212_SRR1127578
Feb	12	2015	150212_SRR1127825
Feb	12	2015	150212_SRR1127469
Feb	12	2015	150212_SRR1127614
Feb	12	2015	150212_SRR1127602
Feb	12	2015	150212_SRR1127505
Feb	12	2015	150212_SRR1127772
Feb	12	2015	150212_SRR1128017
Feb	12	2015	150212_SRR1127339
Feb	12	2015	150212_SRR1127677
Feb	12	2015	150212_SRR1127703
Feb	12	2015	150212_SRR1127806
Feb	12	2015	150212_SRR1127659
Feb	12	2015	150212_SRR1127989
Feb	12	2015	150212_SRR1127490
Feb	12	2015	150212_SRR1128807
Feb	12	2015	150212_SRR1127345
Feb	12	2015	150212_SRR1127998
Feb	12	2015	150212_SRR1127413
Feb	12	2015	150212_SRR1127626
Feb	12	2015	150212_SRR1127641
Feb	12	2015	150212_SRR1128065
Feb	12	2015	150212_SRR1127665
Feb	12	2015	150212_SRR1128157
Feb	12	2015	150212_SRR1128820
Feb	12	2015	150212_SRR1128074
Feb	12	2015	150212_SRR1128774
Feb	12	2015	150212_SRR1128781
Feb	12	2015	150212_SRR1128723
Feb	12	2015	150212_SRR1128488
Feb	12	2015	150212_SRR1128771
Feb	12	2015	150212_SRR1128750
Feb	12	2015	150212_SRR1128825
Feb	12	2015	150212_SRR1128171
Feb	12	2015	150212_SRR1127600
Feb	12	2015	150212_SRR1128822
Feb	12	2015	150212_SRR1128062
Feb	12	2015	150212_SRR1128039
Feb	12	2015	150212_SRR1128580
Feb	12	2015	150212_SRR1128168
Feb	12	2015	150212_SRR1128124
Feb	12	2015	150212_SRR1128290
Feb	12	2015	150212_SRR1129128
Feb	12	2015	150212_SRR1129801
Feb	12	2015	150212_SRR1128863
Feb	12	2015	150212_SRR1129399
Feb	12	2015	150212_SRR1129750
Feb	12	2015	150212_SRR1129209
Feb	12	2015	150212_SRR1130235
Feb	12	2015	150212_SRR1129525
Feb	12	2015	150212_SRR1130203
Feb	12	2015	150212_SRR1130041
Feb	12	2015	150212_SRR1129634
Feb	12	2015	150212_SRR1130229
Feb	12	2015	150212_SRR1139216
Feb	12	2015	150212_SRR1130544
Feb	12	2015	150212_SRR1129396
Feb	12	2015	150212_SRR1139203
Feb	12	2015	150212_SRR1130135
Feb	12	2015	150212_SRR1130594
Feb	12	2015	150212_SRR1130532
Feb	12	2015	150212_SRR1129611
Feb	12	2015	150212_SRR1130250
Feb	12	2015	150212_SRR1129222
Feb	12	2015	150212_SRR1141919
Feb	12	2015	150212_SRR1129026
Feb	12	2015	150212_SRR1129693
Feb	12	2015	150212_SRR1139208
Feb	12	2015	150212_SRR1144410
Feb	12	2015	150212_SRR1139211
Feb	12	2015	150212_SRR1130520
Feb	12	2015	150212_SRR1141705
Feb	12	2015	150212_SRR1130399
Feb	12	2015	150212_SRR1182364
Feb	12	2015	150212_SRR1182365
Feb	12	2015	150212_SRR1182368
Feb	12	2015	150212_SRR1182370
Feb	12	2015	150212_SRR1182363
Feb	12	2015	150212_SRR1143986
Feb	12	2015	150212_SRR1182369
Feb	12	2015	150212_SRR1130503
Feb	12	2015	150212_SRR1142663
Feb	12	2015	150212_SRR1186096
Feb	12	2015	150212_SRR1186102
Feb	12	2015	150212_SRR1186100
Feb	12	2015	150212_SRR1182367
Feb	12	2015	150212_SRR1143091
Feb	12	2015	150212_SRR1142888
Feb	12	2015	150212_SRR1186092
Feb	12	2015	150212_SRR1186097
Feb	12	2015	150212_SRR1186095
Feb	12	2015	150212_SRR1186099
Feb	13	2015	150213_SRR1186159
Feb	13	2015	150213_SRR1186161
Feb	13	2015	150213_SRR1186112
Feb	13	2015	150213_SRR1186178
Feb	13	2015	150213_SRR1186131
Feb	13	2015	150213_SRR1186162
Feb	13	2015	150213_SRR1186145
Feb	13	2015	150213_SRR1186157
Feb	13	2015	150213_SRR1186116
Feb	13	2015	150213_SRR1186183
Feb	13	2015	150213_SRR1186182
Feb	13	2015	150213_SRR1186129
Feb	13	2015	150213_SRR1186134
Feb	13	2015	150213_SRR1186172
Feb	13	2015	150213_SRR1186126
Feb	13	2015	150213_SRR1186160
Feb	13	2015	150213_SRR1186176
Feb	13	2015	150213_SRR1186151
Feb	13	2015	150213_SRR1186146
Feb	13	2015	150213_SRR1186153
Feb	13	2015	150213_SRR1186108
Feb	13	2015	150213_SRR1186106
Feb	13	2015	150213_SRR1186114
Feb	13	2015	150213_SRR1186173
Feb	13	2015	150213_SRR1186118
Feb	13	2015	150213_SRR1186156
Feb	13	2015	150213_SRR1186109
Feb	13	2015	150213_SRR1186111
Feb	13	2015	150213_SRR1186184
Feb	13	2015	150213_SRR1186119
Feb	13	2015	150213_SRR1198044
Feb	13	2015	150213_SRR1186201
Feb	13	2015	150213_SRR1198017
Feb	13	2015	150213_SRR1186207
Feb	13	2015	150213_SRR1198018
Feb	13	2015	150213_SRR1186190
Feb	13	2015	150213_SRR1198041
Feb	13	2015	150213_SRR1198043
Feb	13	2015	150213_SRR1186167
Feb	13	2015	150213_SRR1198031
Feb	13	2015	150213_SRR1198029
Feb	13	2015	150213_SRR1186192
Feb	13	2015	150213_SRR1186197
Feb	13	2015	150213_SRR1127487
Feb	13	2015	150213_SRR1198037
Feb	13	2015	150213_SRR1186188
Feb	13	2015	150213_SRR1198036
Feb	13	2015	150213_SRR1186196
Feb	13	2015	150213_SRR1198023
Feb	13	2015	150213_SRR1198033
Feb	13	2015	150213_SRR1198027
Feb	13	2015	150213_SRR1127803
Feb	13	2015	150213_SRR1198125
Feb	13	2015	150213_SRR1198157
Feb	13	2015	150213_SRR1198093
Feb	13	2015	150213_SRR1198098
Feb	13	2015	150213_SRR1198156
Feb	13	2015	150213_SRR1198135
Feb	13	2015	150213_SRR1198132
Feb	13	2015	150213_SRR1198163
Feb	13	2015	150213_SRR1198145
Feb	13	2015	150213_SRR1198059
Feb	13	2015	150213_SRR1198126
Feb	13	2015	150213_SRR1198159
Feb	13	2015	150213_SRR1198108
Feb	13	2015	150213_SRR1198061
Feb	13	2015	150213_SRR1198144
Feb	13	2015	150213_SRR1198110
Feb	13	2015	150213_SRR1198153
Feb	13	2015	150213_SRR1198142
Feb	13	2015	150213_SRR1198171
Feb	13	2015	150213_SRR1198045
Feb	13	2015	150213_SRR1198167
Feb	13	2015	150213_SRR1198054
Feb	13	2015	150213_SRR1198052
Feb	13	2015	150213_SRR1198187
Feb	13	2015	150213_SRR1198138
Feb	13	2015	150213_SRR1198097
Feb	13	2015	150213_SRR1198198
Feb	13	2015	150213_SRR1198197
Feb	13	2015	150213_SRR1198235
Feb	13	2015	150213_SRR1198170
Feb	13	2015	150213_SRR1198191
Feb	13	2015	150213_SRR1198175
Feb	13	2015	150213_SRR1198182
Feb	13	2015	150213_SRR1198189
Feb	13	2015	150213_SRR1198180
Feb	13	2015	150213_SRR1198214
Feb	13	2015	150213_SRR1198179
Feb	13	2015	150213_SRR1198201
Feb	13	2015	150213_SRR1198202
Feb	13	2015	150213_SRR1198193
Feb	13	2015	150213_SRR1198209
Feb	13	2015	150213_SRR1198211
Feb	13	2015	150213_SRR1198186
Feb	13	2015	150213_SRR1198220
Feb	13	2015	150213_SRR1198229
Feb	13	2015	150213_SRR1198241
Feb	13	2015	150213_SRR1198203
Feb	13	2015	150213_SRR1198236
Feb	13	2015	150213_SRR1198239
Feb	13	2015	150213_SRR1198243
Feb	13	2015	150213_SRR1198254
Feb	13	2015	150213_SRR1198240
Feb	13	2015	150213_SRR1198281
Feb	13	2015	150213_SRR1198246
Feb	13	2015	150213_SRR1198275
Feb	13	2015	150213_SRR1198190
Feb	13	2015	150213_SRR1198277
Feb	13	2015	150213_SRR1198205
Feb	13	2015	150213_SRR1198247
Feb	13	2015	150213_SRR1198260
Feb	13	2015	150213_SRR1198252
Feb	13	2015	150213_SRR1202941
Feb	13	2015	150213_SRR1198273
